iter	Passed	Remaining
0	115	46044
1	117	23384
2	119	15809
3	121	12052
4	123	9742
5	125	8210
6	126	7118
7	128	6294
8	130	5657
9	131	5145
10	133	4726
11	135	4374
12	136	4077
13	138	3824
14	140	3616
15	142	3426
16	144	3255
17	146	3109
18	148	2971
19	149	2848
20	151	2737
21	153	2637
22	155	2544
23	156	2459
24	158	2381
25	160	2308
26	162	2240
27	164	2179
28	165	2120
29	167	2065
30	169	2014
31	171	1967
32	172	1922
33	174	1880
34	176	1840
35	178	1802
36	179	1765
37	181	1731
38	183	1698
39	185	1667
40	186	1637
41	188	1608
42	190	1580
43	192	1555
44	193	1530
45	195	1505
46	197	1482
47	199	1460
48	200	1439
49	202	1418
50	204	1398
51	206	1379
52	207	1358
53	209	1340
54	210	1322
55	212	1306
56	214	1290
57	216	1275
58	218	1261
59	220	1248
60	222	1233
61	223	1220
62	225	1207
63	227	1194
64	229	1182
65	231	1169
66	232	1157
67	234	1144
68	236	1132
69	237	1120
70	239	1110
71	241	1099
72	243	1089
73	244	1079
74	246	1069
75	248	1059
76	250	1050
77	252	1041
78	254	1032
79	256	1024
80	257	1016
81	259	1007
82	261	999
83	263	989
84	264	981
85	266	974
86	268	966
87	270	958
88	272	950
89	273	943
90	276	937
91	277	930
92	279	923
93	281	916
94	283	909
95	285	902
96	286	896
97	288	889
98	290	883
99	292	876
100	294	870
101	295	862
102	297	857
103	299	851
104	301	846
105	302	840
106	304	834
107	306	828
108	308	823
109	310	817
110	311	812
111	313	806
112	315	801
113	317	795
114	319	790
115	321	787
116	323	782
117	325	778
118	327	773
119	329	768
120	331	763
121	333	759
122	335	754
123	336	749
124	338	745
125	340	740
126	342	735
127	344	731
128	345	726
129	347	722
130	349	717
131	351	713
132	353	709
133	355	705
134	357	700
135	358	696
136	360	692
137	362	688
138	364	683
139	366	680
140	368	677
141	370	673
142	372	669
143	374	665
144	376	661
145	377	657
146	379	653
147	381	650
148	383	646
149	385	642
150	387	638
151	389	635
152	391	632
153	393	628
154	395	624
155	397	621
156	399	618
157	401	614
158	403	610
159	404	607
160	406	604
161	408	600
162	410	597
163	412	593
164	414	590
165	416	587
166	418	583
167	420	580
168	422	577
169	424	574
170	426	571
171	428	568
172	430	565
173	432	562
174	434	558
175	436	555
176	438	552
177	440	549
178	442	546
179	444	543
180	446	540
181	448	536
182	449	533
183	451	530
184	453	527
185	455	524
186	457	520
187	459	517
188	461	514
189	462	511
190	464	508
191	466	505
192	468	502
193	470	499
194	472	496
195	474	493
196	477	491
197	478	488
198	482	487
199	484	484
200	486	481
201	488	478
202	491	476
203	493	473
204	495	470
205	497	468
206	499	465
207	500	462
208	502	459
209	504	456
210	506	453
211	508	450
212	510	447
213	511	444
214	513	442
215	515	439
216	517	436
217	519	433
218	521	431
219	524	428
220	525	425
221	528	423
222	530	421
223	532	418
224	534	415
225	536	413
226	538	410
227	540	407
228	542	405
229	544	402
230	546	399
231	548	397
232	550	394
233	552	391
234	554	389
235	556	386
236	558	383
237	559	381
238	562	379
239	564	376
240	566	373
241	568	371
242	570	368
243	572	365
244	573	363
245	575	360
246	577	357
247	579	355
248	581	352
249	583	350
250	585	347
251	587	344
252	589	342
253	591	339
254	593	337
255	594	334
256	597	332
257	598	329
258	600	327
259	602	324
260	604	321
261	606	319
262	608	316
263	609	314
264	611	311
265	613	309
266	615	306
267	616	303
268	618	301
269	620	298
270	622	296
271	623	293
272	625	291
273	627	288
274	629	286
275	631	283
276	633	281
277	634	278
278	636	276
279	638	273
280	640	271
281	643	269
282	645	266
283	647	264
284	649	262
285	651	259
286	653	257
287	655	254
288	657	252
289	658	249
290	660	247
291	662	245
292	664	242
293	666	240
294	668	238
295	670	235
296	672	233
297	674	231
298	676	228
299	678	226
300	680	223
301	682	221
302	684	219
303	686	216
304	688	214
305	690	212
306	692	209
307	693	207
308	695	204
309	697	202
310	699	200
311	701	197
312	703	195
313	705	193
314	706	190
315	708	188
316	710	185
317	712	183
318	713	181
319	715	178
320	717	176
321	719	174
322	721	171
323	723	169
324	724	167
325	726	164
326	728	162
327	730	160
328	732	157
329	733	155
330	735	153
331	737	151
332	739	148
333	740	146
334	742	144
335	744	141
336	745	139
337	747	137
338	749	134
339	751	132
340	753	130
341	755	128
342	756	125
343	758	123
344	760	121
345	762	119
346	764	116
347	766	114
348	767	112
349	769	109
350	771	107
351	773	105
352	775	103
353	777	101
354	779	98
355	781	96
356	783	94
357	785	92
358	787	89
359	789	87
360	790	85
361	792	83
362	794	80
363	796	78
364	798	76
365	800	74
366	801	72
367	803	69
368	805	67
369	807	65
370	809	63
371	811	61
372	813	58
373	815	56
374	817	54
375	819	52
376	820	50
377	822	47
378	824	45
379	826	43
380	828	41
381	830	39
382	832	36
383	833	34
384	835	32
385	837	30
386	839	28
387	841	26
388	842	23
389	844	21
390	846	19
391	848	17
392	850	15
393	851	12
394	853	10
395	855	8
396	856	6
397	858	4
398	860	2
399	862	0
